"Частота, Гц","Дистанция, мм",Количество точек,"Центр мишени (X), мм","Центр мишени (Y), мм"
55,500,11,502.2312358436564,-28.853705287010076
55,500,11,503.5969834022482,-27.487957728418284
55,500,11,500.7071896342982,-30.377751496368308
55,500,11,503.69889924085504,-27.386041889811448
55,500,11,502.02343586780734,-27.362950779459723
55,500,11,502.88266929640264,-26.503717350864406
55,500,11,501.1779019469763,-28.208484700290775
55,500,11,503.07378082321986,-26.31260582404718
55,500,11,501.93665028129254,-26.322563850293548
55,500,11,502.3056758312418,-25.953538300344334
55,500,11,501.2728610297039,-26.986353101882198
55,500,11,503.0367372836771,-25.222476847908972
55,500,11,502.1892012162853,-26.27755711216651
55,500,11,502.28777501936025,-26.178983309091542
55,500,11,502.33170943118853,-29.138555706376327
55,500,11,503.15712635442685,-28.313138783138033
55,500,11,501.4640784352376,-30.006186702327266
55,500,11,503.57010672432165,-27.900158413243226
55,500,12,504.8541876480171,-28.11267198447217
55,500,12,505.2950949137954,-27.671764718693822
55,500,12,504.7403627774069,-28.226496855082335
55,500,12,505.8093067218107,-27.157552910678564
55,500,11,502.0465215512997,-25.835042989973
55,500,11,502.43195295118767,-25.449611590085006
55,500,11,501.84898010632475,-26.032584434947953
55,500,11,502.1759235024901,-25.705641038782595
55,500,11,502.39942376527557,-28.34709502785302
55,500,11,502.49433305188546,-28.25218574124312
55,500,11,502.2231899379895,-28.523328855139088
55,500,11,504.0339447612392,-26.712574031889382
55,500,11,502.3088795795009,-28.21456590410673
55,500,11,503.70608062795554,-26.81736485565209
55,500,11,502.3704693250618,-28.469856847137553
55,500,11,503.9387096378738,-26.90161653432553
55,500,11,502.1033420319978,-28.736984140201542
55,500,11,502.9809535724331,-27.859372599766214
55,500,11,501.972573189861,-27.469923366231093
55,500,11,502.056797022118,-27.3856995339741
55,500,11,501.9500134102843,-27.492483145807768
55,500,11,502.80977966430373,-26.63271689178837
55,500,12,504.4667296314132,-25.40846530871286
55,500,12,505.5197820060576,-24.355412934068497
55,500,12,503.7754174408302,-26.09977749929584
55,500,12,505.8426914248552,-24.032503515270843
55,500,12,504.33714971121725,-25.929351128173682
55,500,12,504.61194434205464,-25.65455649733629
55,500,12,503.07977098830105,-27.186729851089908
55,500,12,504.84487652495886,-25.42162431443206
55,500,12,504.65346483519176,-28.21581693535748
55,500,12,504.96164846069706,-27.907633309852148
55,500,12,503.18268761619584,-29.686594154353422
55,500,12,505.9336931787213,-26.93558859182795
55,500,11,502.2430583562922,-26.893207573111816
55,500,11,503.14939104770406,-25.98687488169994
55,500,11,502.3902899872855,-28.016699463012266
55,500,11,503.3558742840684,-27.05111516622933
55,500,12,504.74393703683216,-27.506261229469374
55,500,12,505.1314320237678,-27.118766242533738
55,500,12,503.240264086121,-29.009934180180533
55,500,12,506.3261725617745,-25.924025704527043
55,500,11,502.14159193804613,-28.071730626593308
55,500,11,502.88153670050866,-27.331785864130804
55,500,11,500.6286617743865,-29.58466079025296
55,500,11,502.3623247961021,-27.85099776853736
55,500,12,504.7119725853369,-28.4097157834848
55,500,12,505.3874154872614,-27.734272881560287
55,500,12,503.93640880480837,-29.185279564013374
55,500,12,505.41246961817615,-27.70921875064559
55,500,12,504.56899950212534,-28.72919068388516
55,500,12,505.3934401610783,-27.904750024932202
55,500,11,502.15321668802096,-25.247064884307086
55,500,11,503.7946322727584,-23.605649299569638
55,500,11,501.16500064296736,-26.23528092936068
55,500,11,503.4512104403944,-23.949071131933632
55,500,12,504.4097322656962,-26.661088883138245
55,500,12,505.49631192841633,-25.57450922041816
55,500,12,504.13298094783795,-26.937840200996487
55,500,12,504.8272399672744,-26.243581181560046
55,500,12,504.6711815234701,-26.802242803620256
55,500,12,505.79919099421886,-25.674233332871538
55,500,12,504.57830722305806,-26.895117104032337
55,500,12,505.47079906627823,-26.00262526081213
55,500,12,504.575726847707,-28.847694926397377
55,500,12,504.63542584968314,-28.78799592442123
55,500,12,503.44147673402,-29.98194504008439
55,500,12,505.57946689967076,-27.84395487443362
55,500,11,502.0823511314067,-27.047608867284364
55,500,11,502.98641033242467,-26.143549666266402
55,500,11,501.60572467271754,-27.524235325973514
55,500,11,502.51017887794325,-26.619781120747838
55,500,11,502.26329094410045,-25.616573413892237
55,500,11,502.79396879322417,-25.085895564768535
55,500,11,502.3566230917568,-24.922815650824905
55,500,11,503.2036971119767,-24.075741630605002
55,500,11,501.63943603935934,-25.640002703222322
55,500,11,503.0227723270121,-24.2566664155696
55,500,11,502.029751544164,-26.033505759054773
55,500,11,503.553342484411,-24.50991481880776
55,500,12,504.57909168928705,-29.482400420499445
55,500,12,505.737955252121,-28.323536857665463
55,500,11,502.1091405893428,-29.65765163344711
55,500,11,502.8086529011727,-28.958139321617235
55,500,12,504.1626263137412,-25.992983820034777
55,500,12,504.71631330048456,-25.439296833291404
55,500,11,502.1334842228928,-27.823926577461695
55,500,11,502.2086500160743,-27.748760784280186
55,500,12,504.4489403132191,-25.550714353002533
55,500,12,505.28284359409435,-24.716811072127285
55,500,12,504.4680367142137,-27.730178128705404
55,500,12,505.49322124857497,-26.70499359434418
55,500,12,503.5098399682307,-28.688374874688378
55,500,12,505.07183159457435,-27.126383248344787
55,500,11,502.1319423686507,-25.413051086860605
55,500,11,503.3849290901341,-24.160064365377192
55,500,11,501.86058671012165,-25.684406745389644
55,500,11,502.4089551931027,-25.136038262408615
55,500,12,504.28013254201915,-26.296470426459397
55,500,12,505.8499156797394,-24.726687288739114
55,500,12,504.1890555714044,-26.387547397074137
55,500,12,505.18331722342407,-25.39328574505449
55,500,12,504.7420002144686,-27.494154217269358
55,500,12,505.6158325893814,-26.620321842356535
55,500,12,503.52129274070063,-28.7148616910373
55,500,12,505.93133089975026,-26.30482353198767
55,500,11,502.2245598173806,-28.003690719097133
55,500,11,503.2279414897691,-27.000309046708697
55,500,12,504.40832875778204,-28.14315046328542
55,500,12,505.1315303094025,-27.419948911665003
55,500,12,503.9112437606757,-28.640235460391796
55,500,12,505.64582160522133,-26.905657615846152
55,500,12,504.57191126263825,-28.81011864262324
55,500,12,504.61738365852403,-28.76464624673747
55,500,12,504.341160812909,-27.054158966898758
55,500,12,505.12410289965777,-26.271216880149975
55,500,12,503.3981132084894,-27.997206571318348
55,500,12,505.2975056522209,-26.097814127586865
55,500,12,504.30548355170464,-25.115712890617285
55,500,12,505.0050894103325,-24.416107031989412
55,500,11,502.1846868082702,-28.326856265910138
55,500,11,503.2873818434328,-27.22416123074755
55,500,11,502.09343341841395,-27.46481485556221
55,500,11,503.7272525732291,-25.83099570074706
55,500,12,504.25849288798594,-25.641417509994373
55,500,12,505.76534318189715,-24.134567216083138
55,500,12,502.9675864795565,-26.932323918423865
55,500,12,505.22710646558113,-24.672803932399155
55,500,12,504.298106373886,-28.00459550756149
55,500,12,505.5064691284444,-26.796232753003093
55,500,12,502.8618635071099,-29.44083837433764
55,500,12,505.49751491609914,-26.805186965348383
55,500,12,504.47461653183217,-26.813705949161015
55,500,12,505.390099210275,-25.89822327071814
55,500,12,504.5322380123755,-28.022215043822644
55,500,12,504.77423021793913,-27.780222838259014
55,500,12,503.99254098358614,-28.56191207261198
55,500,12,505.5835531586241,-26.97089989757402
55,500,12,504.51424575877394,-28.073025828164642
55,500,12,505.1486056281492,-27.438665958789393
55,500,12,504.43521830683056,-28.15205328010799
55,500,12,505.32598091779886,-27.261290669139722
55,500,11,502.14746299489883,-24.91960173754846
55,500,11,502.65436450271966,-24.412700229727644
55,500,11,500.94978501296845,-26.117279719478823
55,500,11,502.6831098308254,-24.383954901621884
55,500,11,502.4763573724808,-26.64484538756184
55,500,11,502.71788778888606,-26.40331497115653
55,500,11,501.93061508133206,-27.19058767871053
55,500,11,502.74633066252824,-26.374872097514398
55,500,12,504.34577030008205,-25.63402840779716
55,500,12,505.26928750284605,-24.71051120503318
55,500,12,504.4709279141535,-28.169931775797995
55,500,12,504.9806651421528,-27.660194547798646
55,500,12,504.15805342516626,-28.48280626478522
55,500,12,504.7922421173534,-27.848617572598116
55,500,12,504.4638082071403,-28.031260176017962
55,500,12,504.58149299417045,-27.913575388987777
55,500,12,503.79994625116063,-28.695122131997643
55,500,12,504.8022579644584,-27.692810418699843
55,500,11,502.41992999341403,-29.232884841520978
55,500,11,503.71514298095786,-27.937671853977168
55,500,11,501.8710243579876,-29.78179047694738
55,500,11,504.06585921169886,-27.586955623236125
55,500,11,502.36270044888573,-25.341967622170667
55,500,11,502.39585761435063,-25.308810456705768
